,Unnamed: 0,E(level)(keV),Jπ(level)
0,0,0.0,0+
1,1,1274.13,2+
2,2,899.165,4+
3,3,1351.23,2+
4,4,1563.42,4+
5,5,1582.7,0+
6,6,1582.78,2+
7,8,1665.27,2+
8,11,1729.99,0+
9,12,1761.1,2+
10,13,1817.54,4+
11,19,2105.5,2+
12,29,2316.29,2+
13,35,2432.99,0+
14,49,2666.2,2+
15,55,2808.0,6+
16,60,2897.0,4+
17,97,3893.2,2+
18,123,4379.05,2+
19,1,803.043,2+
20,2,1166.4,0+
21,4,1466.8,2+
22,5,1683.94,4+
23,7,1784.07,2+
24,8,1997.61,4+
25,9,2148.96,2+
26,13,2312.0,0+
27,16,2423.36,2+
28,22,2929.06,4+
29,26,2979.0,2+
30,35,3260.3,6+
31,41,3453.4,4+
32,45,3606.2,2+
33,46,3636.0,4+
34,52,3765.0,2+
35,62,3957.5,10+
36,63,3963.0,4+
37,77,4102.0,2+
38,79,4113.0,4+
39,80,4115.9,2+
40,81,4123.0,6+
41,93,4320.0,4+
42,95,4340.0,4+
43,96,4347.0,6+
44,106,4483.6,2+
45,136,4818.0,10+
46,139,4841.7,10+
47,146,4912.0,4+
48,159,5040.0,10+
49,164,5112.0,6+
50,167,5138.0,8+
51,174,5247.0,2+
52,193,5475.0,6+
53,195,5507.0,2+
54,207,5637.0,0+
55,225,5800.0,8+
56,245,6100.0,8+
57,247,6110.8,2+
58,251,6180.0,8+
59,252,6185.9,2+
60,254,6198.0,8+
61,263,6346.0,2+
62,266,6416.0,8+
63,276,6524.0,6+
64,281,6574.0,6+
65,287,6689.0,8+
66,288,6692.0,6+
67,335,7850.0,8+
68,336,7874.0,8+
69,11,4085.52,2+
70,20,4323.946,4+
71,23,4423.647,6+
72,26,4610.748,8+
73,34,4860.78,8+
74,36,4868.35,0+
75,38,4895.23,10+
76,42,4928.1,2+
77,52,5069.31,10+
78,58,5092.99,8+
79,65,5213.007,6+
80,67,5216.214,4+
81,71,5241.1,0+
82,87,5339.46,8+
83,107,5536.58,10+
84,113,5561.31,2+
85,132,5690.117,4+
86,134,5715.53,2+
87,140,5973.0,6+
88,159,5763.7,10+
89,167,5928.0,2+
90,170,5992.67,6+
91,178,6053.7,4+
92,188,6179.0,2+
93,190,6193.1,2+
94,196,6255.68,2+
95,239,6657.8,4+
96,265,6913.0,2+
97,302,7265.9,2+
98,309,7315.4,2+
99,314,7360.0,2+
100,316,7370.92,2+
101,318,7378.01,2+
102,321,7383.96,2+
103,326,7399.4,4+
104,327,7400.68,2+
105,332,7416.04,2+
106,335,7430.38,2+
107,337,7435.9,2+
108,340,7449.55,0+
109,341,7450.45,2+
110,342,7455.19,2+
111,345,7465.79,2+
112,348,7470.94,0+
113,352,7491.0,2+
114,353,7494.92,2+
115,357,7502.47,0+
116,360,7506.89,2+
117,368,7520.9,2+
118,371,7526.01,2+
119,375,7538.18,2+
120,377,7546.24,0+
121,379,7548.18,2+
122,389,7574.49,0+
123,396,7587.04,2+
124,403,7607.38,2+
125,406,7616.16,2+
126,415,7636.4,2+
127,425,7656.66,0+
128,440,7689.63,2+
129,452,7725.92,2+
130,453,7734.87,2+
131,459,7744.65,2+
132,461,7748.55,2+
133,465,7761.1,2+
134,467,7767.5,2+
135,468,7768.3,2+
136,469,7771.6,0+
137,474,7786.4,2+
138,482,7802.1,0+
139,488,7812.0,2+
140,490,7817.75,2+
141,505,7845.0,2+
142,511,7901.9,2+
143,512,7904.3,2+
144,515,7913.8,2+
145,521,7968.5,0+
146,534,8008.2,2+
147,537,8051.1,2+
148,539,8071.9,2+
149,542,8109.1,2+
150,543,8110.0,4+
151,544,8144.5,2+
152,546,8167.0,2+
153,572,8620.0,2+
154,574,8750.0,2+
155,576,8860.0,2+
156,577,8950.0,2+
157,581,9340.0,2+
158,584,9520.0,2+
159,593,10900.0,2+
160,599,12250.0,4+
161,603,13960.0,0+
162,604,16000.0,6+
163,609,26900.0,2+
